product_id,producer_id
1512077,324
1512078,324
1512079,324
1512090,324
1512276,194
1512320,1153
1512321,1153
1512322,1153
1512353,537
1512354,537
1512523,401
1512527,401
1513012,324
1514984,324
1515111,482
1515132,537
1515133,537
1515155,537
1515157,537
1515172,1342
1515350,507
1515351,507
1515442,1360
1516438,507
1516439,507
1517502,1507
1517821,497
1519201,335
1519203,335
1519205,335
1519548,537
1519551,537
1519758,247
1519805,247
1519806,247
1519807,247
1519808,247
1519809,247
1520307,1507
1520308,1507
1520309,1507
1520355,1507
1520523,1342
1520612,667
1520613,667
1520614,667
1520616,667
1520617,667
1520619,667
1520953,497
1520954,497
1520960,497
1520962,497
1520963,497
1520992,292
1521014,537
1521016,537
1521017,537
1521166,497
1521397,206
1522316,450
1522970,537
1522971,537
1522972,537
1522973,537
1523388,1542
1523441,1541
1523460,1541
1523467,1541
1523468,1541
1523499,1541
1523506,1541
1523510,1541
1523541,1541
1523557,1541
1523558,1541
1524127,921
1524532,1342
1525361,324
1525569,667
1526024,1127
1526037,595
1526038,595
1526039,595
1526040,595
1526043,595
1526044,595
1526046,595
1526048,595
1526054,595
1526057,595
1526059,595
1526062,595
1526063,595
1526064,595
1526065,595
1526066,595
1526128,595
1526130,595
1526131,595
1526132,595
1526133,595
1526138,595
1526139,595
1526141,595
1526142,595
1526143,595
1526144,595
1526145,595
1526146,595
1526147,595
1526148,595
1526294,497
1526295,497
1526296,497
1526325,1541
1526326,1541
1526331,1541
1526709,507
1526710,507
1526712,507
1526713,507
1526843,274
1526844,274
1526845,274
1526846,274
1526900,223
1527008,194
1527009,194
1527299,455
1527945,537
1527946,537
1528087,1127
1528090,1127
1528094,1127
1528099,1127
1528100,1127
1528106,1127
1528108,1127
1528109,1127
1528110,1127
1528111,1127
1528112,1127
1528113,1127
1528114,1127
1528115,1127
1528116,1127
1528117,1127
1528118,1127
1528119,1127
1528120,1127
1528121,1127
1528122,1127
1528123,1127
1528160,1127
1528179,1127
1528197,292
1528263,537
1529016,497
1529030,497
1529080,482
1529081,482
1529446,1127
1529622,537
1529623,537
1529625,537
1529960,324
1529963,324
1529964,324
1529969,324
1530078,1542
1530079,1542
1530081,1542
1530082,1542
1530083,1542
1530084,1542
1530085,1542
1530086,1542
1530087,1542
